Category,Store,Product,Price
Beverages,Woolworths,Sprite Lemonade 2 L,3
Beverages,Coles,Pepsi 2 L,3.41
Beverages,Woolworths,Pepsi 2 L,2
Beverages,Coles,Sunkist Orange Crush 2 L,4
Beverages,Woolworths,Sunkist Orange Crush 2 L,2
Beverages,Coles,Solo Lemon 2 L,4
Beverages,Woolworths,Solo Lemon 2 L,2
Snacks & Confectioneries,Woolworths,Doritos Corn Chips Original 170g,3.5
Snacks & Confectioneries,Coles,Doritos Corn Chips Original 170g,3.63
Snacks & Confectioneries,Woolworths,CC's Corn Chips Original 175g,3.2
Snacks & Confectioneries,Coles,CC's Corn Chips Original 175g,3.51
Snacks & Confectioneries,Woolworths,Doritos Mild Salsa 300g,2.99
Snacks & Confectioneries,Coles,Doritos Mild Salsa 300g,2.5
Snacks & Confectioneries,Woolworths,Oreo Original Cookies 274g,3.65
Snacks & Confectioneries,Coles,Oreo Original Cookies 274g,2.8
Snacks & Confectioneries,Woolworths,Oreo Cookie Strawberry 137g,1.5
Snacks & Confectioneries,Coles,Oreo Cookie Strawberry 137g,2.2
Snacks & Confectioneries,Woolworths,Smith's Crinkle Cut Original Potato Chips 170g,3.29
Snacks & Confectioneries,Coles,Smith's Crinkle Cut Original Potato Chips 170g,3.63
Snacks & Confectioneries,Woolworths,Pringles Salt & Vinegar Potato  Chips 134g,2.5
Snacks & Confectioneries,Coles,Pringles Salt & Vinegar Potato  Chips 134g,4.4
Snacks & Confectioneries,Woolworths,Cheetos Cheese & Bacon Balls Party Bag 190g,3
Snacks & Confectioneries,Coles,Cheetos Cheese & Bacon Balls Party Bag 190g,2.4
Snacks & Confectioneries,Woolworths,Coolpak Original Popcorn 10 pack 200g,3.79
Snacks & Confectioneries,Coles,Coolpak Original Popcorn 10 pack 200g,4.17
Snacks & Confectioneries,Woolworths,Kettle Salted Caramel Popcorn 110g,3.19
Snacks & Confectioneries,Coles,Kettle Salted Caramel Popcorn 110g,3.52
Snacks & Confectioneries,Woolworths,Poppin Microwave Popcorn Butter 4 Pack 400g,4.95
Snacks & Confectioneries,Coles,Poppin Microwave Popcorn Butter 4 Pack 400g,5.55
Snacks & Confectioneries,Woolworths,Riviana Popping Corn Kernels 400g,1.95
Snacks & Confectioneries,Coles,Riviana Popping Corn Kernels 400g,2.15
Snacks & Confectioneries,Woolworths,Sunbites Salted Popcorn 6 pack 78g,3.18
Snacks & Confectioneries,Coles,Sunbites Salted Popcorn 6 pack 78g,3.47
Snacks & Confectioneries,Woolworths,Majans Bhuja Ancient Grains 140g,2.5
Snacks & Confectioneries,Coles,Majans Bhuja Ancient Grains 140g,4.24
Snacks & Confectioneries,Woolworths,Lucky Golden Walnuts 100g,3.4
Snacks & Confectioneries,Coles,Lucky Golden Walnuts 100g,3.44
Snacks & Confectioneries,Woolworths,Lucky Oven Roasted Almonds 350g,9.5
Snacks & Confectioneries,Coles,Lucky Oven Roasted Almonds 350g,9.47
Snacks & Confectioneries,Woolworths,Nobby's Salted Peanuts 375g,3.35
Snacks & Confectioneries,Coles,Nobby's Salted Peanuts 375g,3.69
Snacks & Confectioneries,Woolworths,Nobby's Salted Mixed Nuts 375g,6.8
Snacks & Confectioneries,Coles,Nobby's Salted Mixed Nuts 375g,7.48
Snacks & Confectioneries,Woolworths,Wrigley's Eclipse Mints Spearmint 34g,2.6
Snacks & Confectioneries,Coles,Wrigley's Eclipse Mints Spearmint 34g,2.86
Snacks & Confectioneries,Woolworths,Wrigley's Extra White Peppermint  Bottle 64g,4
Snacks & Confectioneries,Coles,Wrigley's Extra White Peppermint  Bottle 64g,3
Snacks & Confectioneries,Woolworths,Tic Tac Peppermint 49g,3
Snacks & Confectioneries,Coles,Tic Tac Peppermint 49g,3.91
Snacks & Confectioneries,Woolworths,Mentos Fresh Mint Gum Bottle 68g,3
Snacks & Confectioneries,Coles,Mentos Fresh Mint Gum Bottle 68g,3.85
Snacks & Confectioneries,Woolworths,Mentos Mint 3 pack 112g,2.6
Snacks & Confectioneries,Coles,Mentos Mint 3 pack 112g,3.41
Snacks & Confectioneries,Woolworths,Mentos Rainbow Mini Rolls 120g,2
Snacks & Confectioneries,Coles,Mentos Rainbow Mini Rolls 120g,2.42
Snacks & Confectioneries,Woolworths,Be Natural Crunchy Granola & Seed Bars 160g,3.99
Snacks & Confectioneries,Coles,Be Natural Crunchy Granola & Seed Bars 160g,4.4
Snacks & Confectioneries,Woolworths,Be Natural Protein Nut Bars  160g,5
Snacks & Confectioneries,Coles,Be Natural Protein Nut Bars  160g,5.49
Snacks & Confectioneries,Woolworths,Carman's Almond Cashew & Cranberry Nut Bars 175g,5.6
Snacks & Confectioneries,Coles,Carman's Almond Cashew & Cranberry Nut Bars 175g,6.16
Snacks & Confectioneries,Woolworths,Carman's Variety Muesli Bars 540g,10
Snacks & Confectioneries,Coles,Carman's Variety Muesli Bars 540g,11
Snacks & Confectioneries,Woolworths,Mother Earth Baked Oaty Slices Apple Crumble Bars 240g,4
Snacks & Confectioneries,Coles,Mother Earth Baked Oaty Slices Apple Crumble Bars 240g,3
Snacks & Confectioneries,Woolworths,Nature Valley Crunchy Bars 210g,2.35
Snacks & Confectioneries,Coles,Nature Valley Crunchy Bars 210g,5.28
